"id","nid","title","body","author_name","created_time","updated_time","event_type","name_of_speaker_affiliation","title_of_seminar_conference","venu","start_time","end_time","timezone"
66,"1934","Prof. Kesava's Talk","Start: 21 Jan 2010 - 16:00 End: 21 Jan 2010 - 18:00 Abstract Prolonged consumption of water containing excess fluoride (F–) by people leads to fluorosis. The geographical extent and adverse effects of fluorosis provide a strong motivation for our work on two aspects: (i) estimation of F– at the field level: a colorimeter had been developed in our group some years ago  but was plagued by problems related to the replication of the device. An accidental observation led to the development of a modified circuit that overcame these problems. The cost of the device is about Rs. 300  and its performance is roughly comparable to that of the conventional uv-visible spectrophotometer; and (ii) defluoridation: the combined process for defluoridation is similar in spirit to the alum-activated alumina process of Mjengera and Mkongo (2003). Water having a fluoride concentration of about 5 mg/L (a value typically encountered in some areas in India affected by fluorosis) can be treated by the present process. However  even after four cycles of regeneration of the alumina pellets  the cost of treatment is high (50 paise/L). Proper disposal of the regeneration effluent remains a problem  but solar distillation offers a ray of hope. Based on work in progress  some modifications that may reduce the cost of treatment will be discussed. About the Speaker K. Kesava Rao received his B.Tech. degree in chemical engineering from IIT Madras in 1977  and his M.S. and Ph.D. degrees in chemical engineering from the University of Houston in 1979 and 1982  respectively. After spending a year as a post-doctoral fellow/half-time lecturer at Princeton  he joined the Department of Chemical Engineering at IISc Bangalore  where he is now a Professor. His research work was in the area of granular flow and heat transfer in honeybee swarms  but he has recently shifted to the defluoridation of drinking water. He is a Fellow of the Indian Academy of Sciences  Bangalore. This talk is the inaugural lecture as part of the Institute Distinguished Lecture Series in Chemical Engineering  in the Memory of Prof. C V Seshadri.","soumyakant","13 Jan 2010 - 17:06","14 Jan 2010 - 17:19","Seminar/Talk","Prof.  K. Kesava Rao  ChE Department  IISc Bangalore","Excess fluoride in drinking water: health effects  estimation and removal","P C Saxena auditorium","21 Jan 2010 - 16:00","21 Jan 2010 - 18:00","185"
67,"1889","Dr. Ravi's Talk","Start: 29 Oct 2009 - 16:00 End: 29 Oct 2009 - 17:30 Abstract: Electrochemical power sources have had significant improvements in design and operating range and are expected to play a vital role in the future in automobiles  power storage  military  and space applications. Lithium-ion chemistry has been identified as a preferred candidate for high-power/high-energy secondary batteries. Application of batteries ranges from implantable cardiovascular defibrillators (ICDs) operating at 10 µA current to hybrid vehicles requiring pulses of up to 100 A. Today  the design of these systems have been primarily based on (1) matching the capacity of anode and cathode materials  (2) trial-and-error investigation of thickness  porosity  active material  and additive loading  (3) manufacturing convenience and cost  (4) ideal expected thermal behavior at the system level to handle high  currents  etc.  and (5) detailed microscopic models to understand  optimize  and design these systems by changing one or few parameters at a time. Several problems persist with lithium-ion batteries: capacity fade  underutilization  and thermal runaway caused by operation outside the safe window. Several attempts have been published in literature for circumventing some of above mentioned problems for the lithium ion batteries. Optimal porosity distribution: Improved design A model-based optimization procedure for the design of porous electrodes that are commonly used in advanced batteries such as the lithium-ion system is presented. Unlike the traditional design approach  the proposed approach is based on the simultaneous optimization of multiple variables in porous electrode models to find optimal porosity distributions in porous electrodes. Reformulated model approach: A mathematical model of lithium-ion batteries is reformulated using the various mathematical technique and vast experience of the battery field to reduce the cost of computation. Optimization for improving underutilization: A dynamic optimization especially control vector parameterization procedure is employed for estimating the charging and discharging optimal profile for the lithium-ion battery. Optimal profile for charging and discharging will improve the underutilization of batteries. Kinetic Monte Carlo: Due to various reactions which take place as a part of charging and discharging  various undesirable byproduct forms at the electrode and electrolyte interface. SEI layer forms from this byproduct  which act as the resistance for intercalation of the lithium-ion particles. Large number of literatures are published  to predict the mechanism of formation of SEI layer in parallel direction to the intercalation of lithium-ion. Very meager literature is available which predict the formation SEI layer in tangential direction of the molecule. We proposed to carried out the kinetic Monte Carlo simulation for predicting the formation of SEI layer in tangential directions. ABOUT THE SPEAKER Dr Ravi Methekar obtained his PhD from IIT Bombay in October 2009 under the supervision of Dr. Sachin Patwrdhan. As a part of his PhD  he published four peer reviewed journal papers and some conference papers.  He completed his M. Tech from IIT Karaghpur in 2002 and B. E. from Amravati University  1999. Prior to his PhD  he worked as the lecturer for 2 years. Presently he is working as a research associate at the Washington University in St. Louis with Dr. Venkat Subramanian in electrochemical power sources. His areas for interest are control  optimization  identification and modeling of electrochemical /chemical processes.","soumyakant","27 Oct 2009 - 10:17","27 Oct 2009 - 10:25","Seminar/Talk","Dr. Ravi Methekar  Washington University  Saint Lois  USA","Recent trends in Lithium-ion batteries","Creativity Hall (Room No 118)","29 Oct 2009 - 16:00","29 Oct 2009 - 17:30","185"
68,"1892","Prof. Nitin's Talk","Start: 5 Nov 2009 - 16:00 End: 5 Nov 2009 - 17:30 ABSTRACT Issues in plantwide control system design for throughput maximization are considered in this work. The impact of the basic plantwide regulatory control structure and an explicit supervisory optimizing controller on maximizing the throughput is quantitatively evaluated for a simple process module. The module consists of the reaction A + B --> C occurring in a CSTR followed by a distillation column separating the product from the recycled unreacted reactants. The column vapor boilup hitting a maximum acts as the principal bottleneck constraint limiting the throughput due to column flooding. Through an evaluation of four reasonable plantwide control structures  the location of the throughput manipulator  the composition analyzer for overall component inventory balancing and the local column reflux management policy are shown to significantly affect the maximum throughput. Locating the throughput manipulator close to the bottleneck constraint allows for tighter constraint control using the supervisory optimizing controller minimizing the throughput derating necessary due to disturbances. The effect of the optimizing controller algorithm  PI or DMC  on the throughput derating is also quantified. Control system design for process operation near multiple bottleneck constraints is also demonstrated. Designing the plantwide regulatory control system to minimize the process variability propagated into the principal bottleneck constraint emerges as the key heuristic from the case study. ABOUT THE SPEAKER Dr. Nitin Kaistha obtained his B. Tech. in Chemical Engineering from IIT Kanpur in 1996. He followed it up with a PhD from University of Tennessee  Knoxville (UTK)  in 1999. After brief stints as a Post-Doctoral Fellow at UTK and a Research Scientist at Hindustan Lever Research Center  Bangalore  he joined IIT Kanpur as Assistant Professor in September 2002. His research interests are in the areas of plantwide control system design  reactive distillation design and control and process intensification.","soumyakant","2 Nov 2009 - 12:52","2 Nov 2009 - 12:57","Seminar/Talk","Prof Nitin Kaistha  Dept of Chemical Eng.  IIT Kanpur","Plantwide Control for Throughput Maximization: A Case Study","Creativity Hall (Room No 118)","5 Nov 2009 - 16:00","5 Nov 2009 - 17:30","185"
69,"1894","Talk on EDEM simulation tool","Start: 10 Nov 2009 - 16:30 End: 10 Nov 2009 - 17:30 A talk on a versatile DEM simulation tool called EDEM by Caezen Technologies is scheduled in Chemical Engineering Dept. The talk would be of interest to specially those working in the field of DEM simulations. Details of the talk are as follows: Date:10th Nov. Tuesday Time: 4:30-5:30 PM Venue: Room 118  Creativity Hall A brief writeup of the talk and the EDEM tool is given below. A flyer regarding the same is also attached with the mail. EDEM presentation (*one hour duration*) would highlight the following topics: 1. Introduction to Caezen Technologies (India) and DEM Solutions Ltd (UK). {5 mins} 2. Discrete Element Methods – technology position and value {5 mins} 3. Capabilities of EDEM Software – the global leader in general purpose DEM simulations {15 mins} 4. Application of EDEM in industries with case studies. {20 mins} *Chemical Process* *Pharma* *Minerals Processing & Earth Moving* *Power Generation* *Printing* ** 1. Q & A with general discussions {10 mins} 2. Concluding Remarks and the Next Steps {5 mins} *Presenters : Hari Doss  Director  Caezen Technologies & Mohan Nainegali  EDEM Product Manager  CAEZEN Technologies* *A brief write-up about EDEM:* EDEM has industry leading technology for simulation of flow of granular materials and powders.  EDEM can be useful to better understand the physics involved in such flows both in the upstream and downstream* *material handling and manufacturing processes including* **bulk solid flows * solids mixing  solids coating applications and interactions of particles of different shapes and sizes. There are *over 100* companies  research organizations and universities using EDEM around the world today. These customers span a wide range of industries  including  Mining  Materials Handling  Agriculture  Pharmaceuticals  Consumer Goods  Electronics and energy. Some of the key differentiators of the product are as below: 1. EDEM is a *D*iscrete *E*lement *M*odeling (DEM) software used to*mathematically model  analyze and visualize * particulate solids handling and processing operations. I.e. it is a * complete* particle simulation tool. 2. The product is used worldwide for the product *development and optimization of engineered products* including conveyor systems  chutes  hoppers  silos  reactor vessels  mills  buckets  screws  digger buckets and other similar equipment used in the area of handling granular materials. 3. The software provides *high resolution information* on particle kinematics  momentum  heat and transfer  wear analysis  particle-particle and particle-geometry interactions. It can also account the *stickiness*of the particle there by increases the engineering efficiency. 4. The tool help *improves product design and reduce the risks** of problems* when the equipment is fielded. 5. *Realistic Particle shape* and size distribution. The tool allows you to model the exact shape of the particle i.e. not restricting ourselves to sphere. Shape of the particle can be modelled within or imported from other CAD packages. 6. The tool also has *electrostatics module* where the particles carrying the charge can be simulated. 7. EDEM integrates with other *C*omputer *A*ided *D*esign and *E*ngineering tools (CAD and CAE)  allowing engineers to apply DEM as *an integral component* of their design and analysis toolkit. 8. As mentioned above  EDEM can be coupled with *FLUENT* on *CFD* front and *MSC.ADAMS** *and *MSC.Easy5** *on Dynamics Coupling for Geometry response and Control Systems. 9. The product comes with built-in contact models (i.e. physics) and further allows the user to write their own contact models making it more flexible CAE tool for DEM research oriented work.","soumyakant","7 Nov 2009 - 14:39","7 Nov 2009 - 14:46","Seminar/Talk",,,"Creativity Hall (Room No 118)","10 Nov 2009 - 16:30","10 Nov 2009 - 17:30","185"
70,"1906","Dr. Sumit's Talk","Start: 27 Nov 2009 - 14:00 End: 27 Nov 2009 - 17:30 Abstract: Experimental evidence suggests that protein molecules adsorbed to hydrophobic surfaces are thermally more stable than in the bulk. To understand this observation  adsorption of a model lattice protein on hydrophobic surfaces was studied using Monte Carlo simulations.  It was observed that surfaces with intermediate hydrophobicities can stabilize the secondary structure in adsorbed protein molecules. This happens because an unfolded protein molecule loses conformational freedom upon adsorption  thereby driving the melting point to higher values. However  highly hydrophobic surfaces perturb the secondary structure of the adsorbed proteins. Overall  depending on the magnitude of the surface hydrophobicity  different equilibrium regimes of proteins  namely  aggregated-desorbed; folded-adsorbed; highly aggregated-adsorbed; and weakly aggregated–strongly adsorbed are observed.","soumyakant","25 Nov 2009 - 13:21","25 Nov 2009 - 13:26","Seminar/Talk","Dr. Sumit Sharma","Structure and stability of proteins upon adsorption to hydrophobic surfaces","Room No 118 (Creativity Hall)","27 Nov 2009 - 14:00","27 Nov 2009 - 17:30","185"
71,"1907","Green Chemistry Workshop","Start: 7 Dec 2009 - 09:00  As a part and follow up to the world’s first ever Industrial Green Chemistry Workshop (IGCW 2009)  a one day Students workshop (on 7th December  2009) for generating awareness of Green Chemistry and Industrial Practices is being organized.   Green Chemistry is the new paradigm for the pharma and chemical industries to deliver products and services in benign ways  untainted by toxic routes and environmental damage. And this means much more! It means novel products  new chemistries  innovative engineering and therefore manifold opportunities and better profitability. Green Chemistry has the potential to enhance the economical and environmental competitiveness of the chemical industry. Target Audience The workshop is primarily aimed at sensitizing the final year Chemical Engineering and Chemistry undergraduates  masters and doctoral students who would be entering the industry  ready to implement all the theories they have learned through their courses. Speakers World renowned and pioneering speakers who will share their views on topics relevant to the Green Chemistry and ngineering during the workshop are:    	Dr John Warner 	Father of Green Chemistry  Founder of Warner-Babcock Institute 	  	Dr Amy Cannon 	Executive Director and co-Founder of Beyond Benign Foundation 	  	Dr Rakeshwar Bandichor 	Dr Reddy's Laboratories 	  	Dr R Rajgopalan	CEO  Knowgenix 	  	Mr Nitesh Mehta 	Founder Diretor  Newreka Green Synth Technologies Pvt  Ltd 	  	Prof Santosh Noronha 	IIT Bombay 	   Venue and Date    7th December  2009 IIT Bombay Powai Mumbai– 400076   Registration Details    Participation only by registration. Send a mail to igcw09@gmail.com with your Name  College  Year of study and Branch before 2 December  ‘09.   Contact Details   Dr Komal Maheshwari - Newreka GreenSynth Technologies Phone no :9223233868 Komal.maheshwari@newreka.co.in Neeta Dixit General Secretary Department of Chemical Engineering IIT Bombay Ph:+91 9819371031 neetadixit@iitb.ac.in ","admin","26 Nov 2009 - 15:15","26 Nov 2009 - 15:22","SERC School/CEP Course/Workshop","Dr John Warner and others","Industrial Green Chemistry Student Workshop",,"7 Dec 2009 - 09:00","7 Dec 2009 - 09:00","185"
72,"1908","Prof. Daren's Talk","Start: 1 Dec 2009 - 16:00 Abstract:  Nanotechnology  one of ongoing international initiatives  will be a strategic branch of science and engineering for the 21st century. Nanoparticles are considered as the building blocks in nanotechnology. Experimental tools play an important role in developing nanoscale science and engineering. These tools bring together researchers from multiple disciplines  e.g.  material scientists  engineers  biologists and chemists  to pursue the common goal of investigating nanoscale phenomena. In the aerosol field  tools have been developed to produce  characterize and manipulate nanoparticles in the diameters ranging from 3 to 500 nm. Several recently developed experimental tools for nanoparticles will be discussed in this presentation. We have developed a nanometer differential mobility analyzer (Nano-DMA) to size/classify nanoparticles with the diameters ranging from 3 to 150 nm. Based on the DMA technique a fast-scan electrical nanoparticle sizer has demonstrated the high resolution and fast response capability to measure bimodal nanoparticle distributions in jet and diesel engine emissions. To enhance the sensitivity of detecting nanoparticles we have designed a high efficiency nanoparticle charger. Further we have investigated a multistage DMA capable of classifying monodisperse particles of different sizes simultaneously. More recently  we have developed a miniature nanoparticle sizer enabling to monitor the nanoparticles in the spatial distribution and at the personal level. Using the particle inertia effect  we have demonstrated the virtual impactor and axial flow cyclone for concentrating and collecting nanoparticles. An electrospray system has been applied to disperse/encapsulate nanoparticles for biomedical  pharmaceutical and toxicity studies. Finally  the development of an electrospray gene transfector illustrates the importance of multidisciplinary approach in nanotechnology. Biosketch: Professor Chen's research interests are in particle instrumentation and characterization  particle processing (i.e.  particle charging  classification  coating  film deposition)  particle applications in biomedical  environmental and energy areas  micro-contamination control in semiconductor processing  and combustion. The recipient of numerous awards including the Sheldon K. Friedlander Award in1997  Smoluchowski Award in 2002  and Kenneth Whitby Award in 2005  Professor Chen has made significant contributions on nanoparticle instrumentation. Professor Chen has published more than 60 journal papers on aerosol-related topics and holds 16 US and 3 international patents related to aerosol technology.","soumyakant","26 Nov 2009 - 16:06","26 Nov 2009 - 16:16","Seminar/Talk","Prof. Daren Chen  Department of Energy  Environmental & Chemical Engineering  Washington University in St. Louis","Experimental Tools for Nanoparticle Research","Room No 118 (Creatvity Hall)","1 Dec 2009 - 16:00","1 Dec 2009 - 16:00","185"
73,"1910","Prof. Tanmay's Talk","Start: 15 Dec 2009 - 16:00 End: 15 Dec 2009 - 17:30 Abstract: Cell adhesion to the substratum occurs through active force generation by intracellular motor proteins that walk along  cytoskeletal filaments. I will present new measurements of the mechanical behavior of modular force generating units called stress fiber sarcomeres inside the living endothelial cell. I will also present recent work on understanding force generation on the intracellular nucleus  and conclude with an application of nanotechnology for manipulating cytoskeletal forces.","soumyakant","7 Dec 2009 - 21:06","7 Dec 2009 - 21:10","Seminar/Talk","Prof. Tanmay Lele  Dept. of Chemical Engg.  University of Florida  USA","Force generation in the intracellular cytoskeleton","Creativity Hall (Room No 118)","15 Dec 2009 - 16:00","15 Dec 2009 - 17:30","185"
74,"1919","Talk by Dr Ravi Prakash","Start: 22 Dec 2009 - 16:00 End: 22 Dec 2009 - 17:00 The behaviour of collapsed homopolymers and diblock copolymers subjected to extensional flow is examined using fluctuating hydrodynamic simulations. The copolymer blocks are labeled H and P to represent hydrophobic and hydrophilic interactions with the solvent. Collapsed homopolymers are found to undergo a transition in their conformational state from a globular to a stretched state at a critical Weissenberg number. The existence of globule-stretch hysteresis is also demonstrated  with the width of the globule-stretch hysteresis window depending significantly on the quality of the solvent. Diblock copolymers are found to exhibit a fascinatingly complex behaviour in extensional flow. With increasing extension rate  the P block gets fully stretched while the H block remains coiled. Ultimately  a threshold value is reached at which the H block begins to unravel  and the copolymer undergoes a coil-stretch transition. The nature of coil-stretch hysteresis in diblock copolymers is found to be significantly different from the hysteretic behaviour of the each of the blocks that make up the diblock. While de Gennes hypothesis for the existence of coil-stretch hysteresis has been experimentally demonstrated for homopolymers  there has been no experimental observation so far of the existence or otherwise of coil-stretch hysteresis for diblock copolymers in extensional flow. About the speaker: Prof Ravi Prakash Jagadeeshan is a Reader in Chemical Engineering at Monash University. Before joining Monash  Prof Ravi Prakash was an Associate Professor at the Indian Institute of Technology  Madras  and did postdoctoral work on sand pile dynamics with Prof. S. F. Edwards at Cavendish Laboratory in Cambridge  and on Polymer solution rheology with Prof. H. C. Öttinger at ETH Zürich. He was a Humboldt Fellow in the Techno-Mathematik Department at the University of Kaiserlautern in 1999/2000. His research interests revolve around understanding the interaction of flow and microstructure in complex fluids. His group uses an array of modeling techniques including non-equilibrium Brownian Dynamics  closure approximations  and finite element analysis. He was the President of the Australian Society of Rheology from 2006 to 2008  and is the current Editor of the Korea Australia Rheology Journal.","admin","18 Dec 2009 - 02:08","18 Dec 2009 - 02:18","Seminar/Talk","Dr J Ravi Prakash  Monash University","Unfolding of Polymeric Globules in Extensional Flow","Rm#130","22 Dec 2009 - 16:00","22 Dec 2009 - 17:00","185"
75,"1926","RSS 2010","Start: 6 Feb 2010 - 00:30 End: 6 Feb 2010 - 17:30 RSS 2010","meena_m_n","4 Jan 2010 - 17:12","2 Feb 2010 - 15:59","Academic Event",,"RSS 2010"," Room No. 204  Seminar Hall Department of Earth Sciences  IIT Bombay","6 Feb 2010 - 00:30","6 Feb 2010 - 17:30","185"
76,"1929","Dr. Sanket' Talk","Start: 6 Jan 2010 - 15:00 End: 6 Jan 2010 - 16:30 Abstract: Thermo-sensitive hydrogels are a class of stimuli-sensitive hydrogels which can undergo a significant volume transition in response to change in the temperature of the surrounding environment. Most thermo-sensitive hydrogels exhibit a characteristic temperature called Lower Critical Solution Temperature  (LCST) at which they  experience the volume transition. In this work we have studied  a thermo-sensitive hydrogel  poly(N-isopropylacrylamide) (PNIPAM) that shows an LCST at 32C. The PNIPAM hydrogel is hydrophilic (swollen) below the  LCST (< 32C) while it is hydrophobic (contracted) above the LCST (> 32C). As the LCST of PNIPAM lies close to body temperature  it has great potential as a controlled drug delivery system.  The exact molecular mechanisms that govern the LCST behaviour are not well understood. In the present work we have performed atomistic level Molecular Dynamics (MD) simulation of PNIPAM hydrogels mainly to i) Understand the exact origin of the LCST at molecular level ii) Study the effect of LCST on the diffusion coefficient of the solvent (water). A number of computer models of structures of the PNIPAM hydrogels with N N' methylene bisacrylamide (BIS) and ethylene glycol dimethacrylate (EGD)  crosslinkers were generated using the principles of directed self-avoiding  random walk. The structures were further equilibrated using the GROMOS96 force  field followed by insertion of SPC/E water molecules into the simulation cell. MD simulations of a thermo-sensitive hydrogel  PNIPAM  in presence of water were performed below  at and above its LCST (namely  300  305 and 310K) using the GROMOS96 force field.The effect of crosslinking density on the structural and dynamical properties of PNIPAM  across the LCST  was studied using different number of BIS crosslinkers in the model structure of PNIPAM. The MD simulations in NPT ensembles were conducted at 300  305 and 310K. From the analysis of the radial distribution function of key atoms and pore size distribution  it was observed that for all the crosslinking densities the hydrogel structures were contracted at 310K as compared to 300K.  The diffusion coefficients for water were also calculated and it was observed that there was very little effect of the LCST and crosslinking density on the diffusion coefficient of water. Hydrogen bonding interactions between polymer-polymer and water-polymer were also studied. To study the effect of different crosslinkers on the PNIPAM hydrogel structure two different crosslinkers namely  BIS and EGD were used to generate a model structure. The MD simulations were performed in the NPT ensemble at 300  305 and 310K. From an analysis of the radial distribution functions of key atoms  as well as pore size distribution it can be concluded that hydrogel structures for both crosslinkers showed LCST around 305K. The hydrogel structures with both  BIS and EGD  crosslinkers were collapsed at 310K as compared to 300K. Comparing the two crosslinkers  it was observed that the hydrogel structures with EGD crosslinkers were more swollen as compared to BIS crosslinked hydrogels. This is an effect of the longer chain length of EGD  making it swell more than the BIS crosslinker. The diffusion coefficients of water were slightly lower in the presence of EGD crosslinked hydrogel than for the BIS crosslinked hydrogel. This is because the EGD crosslinked hydrogel is more swollen which  inhibits the motion of the water molecules. Hydrogen bonding interactions between polymer-polymer and water-polymer were also studied for both rosslinkers. This study will provide some insight into design of the hydrogels themselves  and how one can manipulate the accessibility of water to the hydrogel as a means of controlling collapse.","soumyakant","5 Jan 2010 - 15:34","5 Jan 2010 - 15:42","Seminar/Talk","Dr. Sanket Deshmukh (PhD Chemical Engineering  University College  Dublin  2009)","Molecular Simulation Studies of Transport in Temperature-Sensitive Hydrogels.","Creativity Hall (Room No 118)","6 Jan 2010 - 15:00","6 Jan 2010 - 16:30","185"
77,"1932","P. K . Das's Talk","Start: 14 Jan 2010 - 16:00 Abstract : Two algorithms for simulating multiphase flow will be discussed.  Due to the complexity of multiphase flow and due to the existence of multiple scales it is a formidable task to develop a generic computational algorithm applicable for all the flow configurations. However  multiphase flow can loosely be categorized as i) well dispersed flow and ii) flow with distinct interface. The algorithms are developed for these two typical hydrodynamic situations. Bubbly flow has been taken as the example of well dispersed or mixed flow. A combined two fluid population balance model has been used to simulate the flow. Efforts have been extended for the prediction of transition boundary based on unique transition criteria. Excellent agreement with experiment has been obtained for up and down flow through circular tubes and for up-flow through circular annulus. Lagrangian formulation based Smoothed Particle Hydrodynamics (SPH) has been adopted to simulate the spatio-temporal evolution of interfaces. For the first time the concept of diffuse interface(DI)  has been introduced in SPH. The combined DI-SPH technique has been used to solve a number of problems of bubble and drop dynamics. 1.        Das A.K.  Das P.K.  “Bubble evolution through submerged orifice using smoothed particle hydrodynamics: Basic formulation and model validation” Chemical Engineering Science Vol. 64  Issue 10  2009  pp. 2281-2290. 2.        Das A.K.  Das P.K.  Thome J.R.  “Transition of bubbly flow in vertical tubes: new criteria through CFD simulation” ASME Journal of Fluids Engineering Vol. 131  Issue 9  2009  pp. 091303-1-12. 3.        Das A.K.  Das P.K.  “Bubble evolution through submerged orifice using smoothed particle hydrodynamics: effect of different thermo physical properties” Industrial Engineering and Chemistry Research Vol. 48  Issue 18  2009  pp. 8726-8735. 4.        Das A.K.  Das P.K.  “Simulation of a sliding drop over an inclined surface using smoothed particle hydrodynamics” Langmuir Vol. 25  Issue 19  2009  pp. 11459-11466. About the speaker: Prof. P. K. Das belongs to the Thermo-fluids section of the Department of Mechanical Engineering  Indian Institute of Technology Kharagpur. He works on diverse fields of thermal engineering. Some of his research topics are analysis and optimization of extended surfaces  dynamic simulation of heat exchangers  natural circulation loops  rewetting of hot surfaces  heat transfer in nano-fluids  hydraulic jump etc. He has extensively worked on multiphase flow. In this field his research includes hydrodynamics of gas-liquid and liquid-liquid flow  development of measurement techniques  boiling and condensation etc. Recently he is developing some unique computational algorithms for multiphase flow. He has contributed severalbook chapters and around hundred papers in International journals. He has eight patents. He is also active in sponsored research. He has worked on different problems of Nuclear Thermo-hydraulics  problems related to space and defense applications. Out of his many consultancy works the design of the air conditioning and ventilation system of the international terminal of Calcutta airport worth mentioning. He is a recipient of the EPSRC fellowship of the Government of UK  K.N. Seetharamu award of Government of UK  and a fellow of Indian National Academy of Engineering.","soumyakant","11 Jan 2010 - 16:58","11 Jan 2010 - 17:05","Seminar/Talk","Prof. P. K. Das   Department of Mechanical Engineering  Indian Institute of Technology Kharagpur","Development of Some Computational Algorithms for Multiphase Flow","Room No 118 (Creativity Hall)","14 Jan 2010 - 16:00","14 Jan 2010 - 16:00","185"
78,"1952","Azeotropy","Start: 6 Mar 2010 - 00:00 End: 7 Mar 2010 - 23:59 Spring is here and so is AZeotropy 2k10 – the much awaited Chemical Engineering fest of IIT Bombay. With a series of innovative and interesting competitions  lectures from the legends of the field and workshops close to the heart of industry AZeotropy 2k10 – “Opt for Optimization” promises to live up to the high standards it has set for itself and more. With loads of prizes on stake and goodies to be won  with the adventures of chemical engineering and the nuances of an entrepreneur  with the eye of a learner and the ecstasy of a winner AZeotropy 2k10 has a little bit for everyone – a“Pareto Optimal event”. Visit website: Azeotropy 2k10","admin","4 Feb 2010 - 00:48","15 Feb 2010 - 14:28","Conference/Symposium",,"Azeotropy 2010",,"6 Mar 2010 - 00:00","7 Mar 2010 - 23:59","185"
79,"1957","Prof. Rajagopalan's Talk","Start: 17 Feb 2010 - 16:00 End: 17 Feb 2010 - 17:30 Abstract On-line monitoring of particle shape and size distribution is a challenge frequently faced by the traditional pharmaceuticals and fine chemicals industries. The control of particulate processes is particularly compounded by the lack of process understanding and in-situ sensors. With regulatory initiatives such as the US Food and Drug administration’s (FDA) Process Analytical Technology (PAT) program for the pharmaceutical industry and the ongoing improvement in real-time imaging hardware (exemplified by Focused Beam Reflectance Measurement  FBRM and Particle Vision and Measurement  PVM  both from Lasentec)  there is a growing interest to develop control technologies using advanced imaging sensors. In this work  I will describe some of our research in image analysis targeted at real-time control of crystallization processes. About the Speaker: Rajagopalan Srinivasan is an Associate Professor in the Department of Chemical & Biomolecular Engineering at the National University of Singapore. He is concurrently a Principal Scientist at the Institute of Chemical & Engineering Sciences  where he leads the Process Systems & Control team. Raj received his B.Tech from IIT Madras in 1993 and his PhD from Purdue University in 1998  both in Chemical Engineering. He worked as a research associate in Honeywell Technology Center  Minneapolis  before joining NUS. Raj’s research program is targeted towards developing artificial intelligence and systems engineering approaches for process design & control and enterprise optimization.","soumyakant","11 Feb 2010 - 11:03","12 Feb 2010 - 00:59","Seminar/Talk","Prof. Rajagopalan Srinivasan  Department of Chemical and Biomolecular Engineering  National University of Singapore","Image-based Sensors for Control of Particulate Processes","Department Library  Chemical Eng  1st floor.","17 Feb 2010 - 16:00","17 Feb 2010 - 17:30","185"
80,"1967","Prof. Nivedita's Talk","Start: 4 Mar 2010 - 16:00 End: 4 Mar 2010 - 17:30 Status: Registration is not openAbstract: Drops and bubbles in confined domains are encountered in a variety of applications such as oil recovery  solvent extraction  and paper-making.  In this talk  I will present our experimental as well as numerical results for the steady shape and mobility of viscous drops and bubbles rising in cylindrical and square channels.  The effects of Bond number  Weber number  and the presence of surfactants on the steady shapes and terminal velocities of the drops and bubbles are explored.  As the Bond number increases  drops become more deformed.  At higher Weber numbers  a reentrant cavity is found at the rear of the drop.  Surfactants  when present at low concentrations  retard the motion of the drops by generating Marangoni stresses that oppose the motion of the drops.  When the surfactant concentration is increased  the bubbles can be remobilized. Biography: Dr.  Nivedita Gupta is an Associate Professor in the Department of Chemical Engineering at the University of New Hampshire.  She received a B. Tech. in Chemical Engineering from IIT Bombay in 1993 and Ph.D. in Chemical Engineering from Pennsylvania State University in 1999.  Dr. Gupta joined the University of New Hampshire in 2002 after  completing postdoctoral research at Johns Hopkins University.  Her research interests include interfacial flows  surfactants effects  and microfluidics.Event is FullRegistration is closed.","soumyakant","28 Feb 2010 - 11:56","2 Mar 2010 - 15:12","Seminar/Talk","Prof. Nivedita R. Gupta  Department of Chemical Engineering  University of New Hampshire  Durham  NH  US ","Drops  Rising  in  Channels","Room No 118 (Creativity Hall)","4 Mar 2010 - 16:00","4 Mar 2010 - 17:30","185"
